ruleName,original,deposit_2,deposit_3,deposit_0,deposit_1,fund_management_4,fund_management_3,fund_management_0,fund_management_2,fund_management_1,pool_2,pool_4,pool_3,pool_0,pool_1,user_0,user_1,user_2,user_3,withdraw_2,withdraw_1,withdraw_0,withdraw_3
integrity_balance_deposit,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT
integrity_balance_dequeue_withdrawal,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT
integrity_balance_donate,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_balance_draw,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_balance_load_pool_backstop_data,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_balance_queue_withdrawal,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT
integrity_balance_withdraw,CAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,UNCAUGHT,UNCAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT,CAUGHT
integrity_emission_deposit,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_emission_dequeue_withdrawal,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
integrity_emission_donate,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT,UNCAUGHT
